[SW중심대학] 2019년 5월 TA 튜터 복무활동보고서 제출 안내(~6.7까지),19.05.29,91,
[SW중심대학] 2019 실리콘밸리 단기연수 - 최종합격자 공지,19.05.29,180,
[SW중심대학] DAsP 응시료 환급안내,19.05.28,126,
[SW중심대학] 전문가초청특강-글로벌 창업환경 및 창업자가 답해야 할 10가지 질문,19.05.28,102,
[SW중심대학] 2019 실리콘밸리 단기연수 - 1차 선발학생 명단 공지 (5/28 면접),19.05.27,195,
[SW중심대학] 4기 글로벌 SW 인재트랙 - 추가선발 공지,19.05.24,267,
[SW중심대학] SQLD 응시료 환급안내,19.05.22,410,
[SW중심대학] 2019 SW중심대학 공동 오픈소스 해커톤 선발자 발표,19.05.21,198,
[SW중심대학] 진로탐색세미나 일정안내,19.05.20,135,
[SW중심대학] 2019 실리콘밸리 단기연수 참가 학생 모집(1학년 대상)-5/24(금) 마감,19.05.20,460,
[SW중심대학] 라이엇게임즈코리아 개발자분들이 직접 오셔서 강의해주시는 실전코딩 일정안내,19.05.08,198,
[SW중심대학] 기업에서 꼭 필요한 SWT실무특강 - 블럭체인(Hyperledger Fabric),19.05.08,204,
[SW중심대학] 2019년 4월 TA 튜터 복무활동보고서 제출 안내(~5.10까지),19.04.30,215,
[SW중심대학] 5기 글로벌인턴십(MI-333) 기업 면접 진행 안내,19.04.22,105,
[SW중심대학] TA 및 튜터 학생인건비 관련 안내,19.04.19,321,
[sw중심대학] UNIX System Programming(POSIX) Workshop 안내,19.04.16,215,
[SW중심대학] 4기 글로벌 SW 인재트랙 최종합격자 발표,19.04.11,353,
[SW중심대학] 4기 글로벌 SW 인재트랙 1차 합격자 명단 및 면접일정 안내,19.04.05,380,
[SW중심대학] 2019학년도 1학기 교육조교(TA) 추가 선발 안내(~4/5),19.04.04,186,
[SW중심대학] 4기 글로벌 SW 인재트랙 1차 전형 합격자 발표 연기 안내,19.04.02,224,
[SW중심대학] 학부생 연구실 인턴 프로그램 선발자 명단 공고,19.04.02,277,
[SW중심대학] 기업에서 꼭 필요한 SW실무특강 - 데이터베이스 고급 응용,19.04.01,203,
[SW중심대학] 5기 글로벌인턴십(MI-333) 학생 모집 안내,19.04.01,414,
[SW중심대학] 2019년 3월 TA 튜터 복무활동보고서 제출안내(~4.5까지),19.03.27,255,
[SW중심대학] 4기 글로벌 SW 인재트랙 학생 모집,19.03.22,561,
[SW중심대학] 기업에서 꼭 필요한 SW실무특강 - 객체지향기술과 분산프로그래밍,19.03.18,202,
[SW중심대학] 2019학년도 1학기 학부생 튜터 추가 선발 안내(~3/15),19.03.05,640,
[SW중심대학] 글로벌SW인재 귀국보고회 개최,19.03.13,180,
[SW중심대학] 2019학년도 1학기 학부생 튜터 선발 현황 및 기한 연장 안내 - 3월 13일(수)까지,19.03.07,502,
[sw중심대학] LINE 인턴십 채용 설명회,19.03.06,149,
[sw중심대학] IT 분야 구직을 위한 이력서 작성과 면접 진행 요령 특강,19.03.06,141,
